,,,,,,,Playing Time,,,,Performance,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR
178,Gabriel Fernández,uy URU,"FW,MF",Celta Vigo,25,1994,20,5,561,6.2,1,1,1,0,0,5,1
179,Joaquín Fernández,es ESP,"MF,DF",Valladolid,23,1996,20,19,"1,659",18.4,2,0,2,0,0,9,0
180,Fernando,br BRA,MF,Sevilla,32,1987,34,30,"2,659",29.5,2,3,2,0,0,13,0
181,Facundo Ferreyra,ar ARG,FW,Espanyol,28,1991,16,5,574,6.4,1,0,1,0,0,2,0
182,Junior Firpo,es ESP,DF,Barcelona,22,1996,17,11,"1,014",11.3,1,1,1,0,0,5,0
183,Alessandro Florenzi,it ITA,DF,Valencia,28,1991,12,9,752,8.4,0,0,0,0,0,1,1
184,Hernâni Fortes,pt POR,"MF,FW",Levante,27,1991,20,5,654,7.3,2,0,2,0,0,3,1
185,Dimitri Foulquier,fr FRA,DF,Granada,26,1993,17,12,"1,119",12.4,1,0,1,0,0,4,0
186,Jorge de Frutos,es ESP,"MF,DF",Valladolid,22,1997,3,0,59,0.7,0,0,0,0,0,0,0
187,Ramiro Funes Mori,ar ARG,DF,Villarreal,28,1991,7,5,453,5,0,0,0,0,0,1,0
188,Enric Gallego,es ESP,"FW,MF",Getafe,32,1986,5,2,164,1.8,0,0,0,0,0,0,0
189,Enric Gallego,es ESP,FW,Osasuna,32,1986,14,9,880,9.8,3,0,3,0,0,5,1
190,Kévin Gameiro,fr FRA,FW,Valencia,32,1987,29,17,"1,581",17.6,6,2,6,0,1,0,0
191,Fran Gámez,es ESP,DF,Mallorca,28,1991,23,18,"1,768",19.6,0,1,0,0,0,5,0
192,Ezequiel Garay,ar ARG,DF,Valencia,32,1986,17,17,"1,437",16,0,0,0,0,0,2,0
193,Dani García,es ESP,MF,Athletic Club,29,1990,36,33,"3,029",33.7,0,1,0,0,0,11,0
194,David García,es ESP,DF,Osasuna,25,1994,32,31,"2,793",31,0,0,0,0,0,7,0
195,Javi García,es ESP,MF,Betis,32,1987,8,4,377,4.2,0,0,0,0,0,2,0
196,Manu García,es ESP,MF,Alavés,33,1986,30,22,"1,967",21.9,0,0,0,0,0,11,1
197,Raúl García,es ESP,DF,Getafe,30,1989,4,3,243,2.7,0,0,0,0,0,0,0
198,Raúl García,es ESP,"MF,FW",Athletic Club,33,1986,35,33,"2,869",31.9,15,1,8,7,7,11,0
199,Raúl García,es ESP,"DF,MF",Valladolid,30,1989,12,12,"1,012",11.2,0,1,0,0,0,2,0
200,Rubén García,es ESP,"MF,FW",Osasuna,26,1993,30,25,"2,188",24.3,8,2,7,1,1,6,0
201,Unai García,es ESP,DF,Osasuna,27,1992,8,6,536,6,1,0,1,0,0,0,0
202,Víctor García,es ESP,"FW,MF",Valladolid,22,1997,2,1,88,1,1,0,1,0,0,0,0
203,Manuel Garrido,es ESP,FW,Leganés,18,2000,4,2,115,1.3,0,0,0,0,0,1,0
204,Mario Gaspar,es ESP,DF,Villarreal,28,1990,25,22,"1,962",21.8,0,2,0,0,0,2,0
205,José Antonio Martínez Gil,es ESP,DF,Granada,26,1993,20,13,"1,191",13.2,0,1,0,0,0,0,0
206,Ibai Gómez,es ESP,FW,Athletic Club,29,1989,17,6,695,7.7,0,0,0,0,0,0,0
207,Maxi Gómez,uy URU,FW,Valencia,22,1996,33,25,"2,143",23.8,9,2,9,0,1,5,0
208,Moi Gómez,es ESP,"FW,MF",Villarreal,25,1994,37,26,"2,319",25.8,5,4,5,0,0,1,0
209,Sergi Gómez,es ESP,DF,Sevilla,27,1992,13,8,717,8,0,0,0,0,0,4,0
210,Maxime Gonalons,fr FRA,MF,Granada,30,1989,19,17,"1,506",16.7,0,0,0,0,0,7,0
211,Bruno González,es ESP,DF,Getafe,29,1990,2,2,180,2,0,0,0,0,0,1,0
212,Bruno González,es ESP,DF,Levante,29,1990,6,5,456,5.1,0,0,0,0,0,0,0
213,Édgar González,es ESP,MF,Betis,22,1997,10,9,681,7.6,0,0,0,0,0,3,0
214,Gonzalo,es ESP,DF,Levante,22,1997,1,0,13,0.1,0,0,0,0,0,0,0
215,Andoni Gorosabel,es ESP,DF,Real Sociedad,22,1996,14,8,714,7.9,0,0,0,0,0,2,0
216,Esteban Granero,es ESP,MF,Espanyol,32,1987,11,5,473,5.3,1,0,1,0,0,5,0
217,Antoine Griezmann,fr FRA,FW,Barcelona,28,1991,35,31,"2,549",28.3,9,4,9,0,0,2,0
218,Andrés Guardado,mx MEX,MF,Betis,32,1986,28,25,"2,046",22.7,0,3,0,0,0,9,0
219,Sergi Guardiola,es ESP,FW,Valladolid,28,1991,35,31,"2,655",29.5,8,2,8,0,1,6,0
