,,,,,,Total,,,,,Short,,,Medium,,,Long,,
Rk,Player,Nation,Pos,Squad,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%
465,Ricard,es ESP,DF,Atlético Madrid,0.3,14,19,73.7,255,111,5,5,100,7,10,70,1,2,50
466,Mikel Rico,es ESP,MF,Huesca,24.3,698,898,77.7,12226,3120,331,373,88.7,269,324,83,79,131,60.3
467,Emiliano Rigoni,ar ARG,MF,Elche,12.7,298,414,72,4138,762,178,205,86.8,80,105,76.2,17,67,25.4
468,Luis Rioja,es ESP,"MF,FW",Alavés,23.2,435,660,65.9,6391,1871,275,331,83.1,122,195,62.6,29,67,43.3
469,Rober,es ESP,"DF,MF",Levante,15.8,730,887,82.3,14839,5369,248,275,90.2,358,399,89.7,113,175,64.6
470,Roberto,es ESP,GK,Valladolid,13,203,415,48.9,7881,6588,18,18,100,73,74,98.6,112,321,34.9
471,Sergi Roberto,es ESP,"DF,FW",Barcelona,10.5,795,888,89.5,10485,2748,488,521,93.7,227,246,92.3,28,38,73.7
472,Joel Robles,es ESP,GK,Betis,18,358,560,63.9,10555,8083,79,80,98.8,146,150,97.3,130,323,40.2
473,Rubén Rochina,es ESP,MF,Levante,15.6,613,853,71.9,12255,3784,265,310,85.5,215,276,77.9,114,221,51.6
474,Rodrigo,es ESP,"FW,MF",Betis,6,210,252,83.3,3266,746,120,131,91.6,61,75,81.3,19,26,73.1
475,Kévin Rodrigues,pt POR,"DF,MF",Eibar,12.2,358,554,64.6,6078,2261,179,211,84.8,121,184,65.8,42,116,36.2
476,Ángel Rodríguez,es ESP,"FW,MF",Getafe,15.3,198,301,65.8,2668,351,114,150,76,49,77,63.6,15,27,55.6
477,Óscar Rodríguez Arnaiz,es ESP,"MF,FW",Sevilla,5.7,256,335,76.4,4210,1114,135,161,83.9,84,101,83.2,26,53,49.1
478,Guido Rodríguez,ar ARG,MF,Betis,31.8,1378,1645,83.8,24007,6634,624,708,88.1,553,621,89,156,224,69.6
479,Miguel Rodríguez,es ESP,"FW,DF",Celta Vigo,0.3,11,17,64.7,198,32,8,9,88.9,1,2,50,2,2,100
480,Víctor Rodríguez,es ESP,MF,Elche,4.7,297,328,90.5,4499,1145,151,165,91.5,113,123,91.9,19,20,95
481,Rodrygo,br BRA,FW,Real Madrid,10.9,333,420,79.3,4279,1070,218,243,89.7,80,98,81.6,13,23,56.5
482,Facundo Roncaglia,ar ARG,DF,Osasuna,13.7,385,561,68.6,7451,3179,160,192,83.3,161,224,71.9,60,120,50
483,Rubén,es ESP,GK,Osasuna,2.1,40,59,67.8,1966,1883,3,3,100,3,3,100,34,53,64.2
484,Waldo Rubio,es ESP,"FW,MF",Valladolid,4.2,78,122,63.9,1435,500,38,48,79.2,27,37,73,11,19,57.9
