,,,,,,Tackles,,,,,Vs Dribbles,,,,Blocks,,,,,,
Rk,Player,Nation,Pos,Squad,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
174,Nicolás Gaitán,ar ARG,"MF,FW",Atlético Madrid,2.4,9,6,3,5,1,3,9,33.3,6,2,0,2,1,10,3,0
175,Álex Gálvez,es ESP,DF,Las Palmas,18,50,36,26,24,0,22,41,53.7,19,20,11,9,43,93,74,2
176,Álex Gálvez,es ESP,DF,Eibar,4,11,4,5,6,0,7,12,58.3,5,5,1,4,13,24,17,0
177,Bruno Gama,pt POR,"FW,MF",La Coruña,1.3,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,2,0
178,Kévin Gameiro,fr FRA,FW,Atlético Madrid,12.5,11,9,3,4,4,1,10,10,9,6,0,6,4,15,11,0
179,Ganso,br BRA,MF,Sevilla,5.8,15,11,3,12,0,3,11,27.3,8,7,0,7,2,17,4,0
180,Ezequiel Garay,ar ARG,DF,Valencia,22.5,18,12,15,3,0,10,14,71.4,4,22,11,11,24,42,139,0
181,Aleix García,es ESP,MF,Girona,9.5,24,14,13,9,2,12,22,54.5,10,9,1,8,17,41,12,0
182,Borja García,es ESP,MF,Girona,31.1,39,18,15,18,6,13,39,33.3,26,31,2,29,30,69,15,0
183,Dani García,es ESP,MF,Eibar,30.8,80,59,23,47,10,31,80,38.8,49,28,4,24,70,150,25,0
184,David García,es ESP,DF,Las Palmas,9.6,16,10,10,4,2,8,12,66.7,4,15,8,7,19,35,33,1
185,Javi García,es ESP,"MF,DF",Betis,26.8,34,22,18,16,0,13,40,32.5,27,19,12,7,25,59,78,1
186,Manu García,es ESP,MF,Alavés,27.1,95,65,38,51,6,24,89,27,65,34,11,23,35,130,67,0
187,Raúl García,es ESP,"MF,FW",Athletic Club,29.2,82,51,28,36,18,26,71,36.6,45,55,3,52,30,112,23,0
188,Raúl García,es ESP,DF,Leganés,15.5,34,25,24,9,1,18,30,60,12,18,3,15,19,53,50,1
189,Samu García,es ESP,MF,Málaga,2,8,6,4,3,1,3,10,30,7,4,0,4,6,14,3,0
190,Samu García,es ESP,"FW,MF",Levante,2.1,9,7,1,6,2,2,5,40,3,3,0,3,1,10,2,0
191,Sergio García,es ESP,"FW,MF",Espanyol,18.2,15,12,1,10,4,3,22,13.6,19,6,3,3,10,25,12,0
192,Mario Gaspar,es ESP,DF,Villarreal,31.2,110,66,63,37,10,58,87,66.7,29,58,11,47,58,168,114,0
193,Johannes Geis,de GER,"DF,MF",Sevilla,7.5,20,15,12,7,1,11,21,52.4,10,13,5,8,10,30,27,1
194,Carles Gil,es ESP,"FW,MF",La Coruña,5.3,6,4,1,4,1,1,5,20,4,5,0,5,4,10,0,0
195,Nacho Gil,es ESP,"FW,MF",Las Palmas,8.1,10,6,6,2,2,5,21,23.8,16,9,0,9,6,16,2,0
196,Nacho Gil,es ESP,MF,Valencia,2.5,6,1,2,4,0,1,8,12.5,7,6,0,6,2,8,2,0
197,Dani Giménez,es ESP,GK,Betis,3.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
198,Diego Godín,uy URU,DF,Atlético Madrid,28.4,50,33,37,11,2,26,47,55.3,21,33,20,13,59,109,145,1
199,André Gomes,pt POR,MF,Barcelona,7.1,19,12,8,10,1,5,13,38.5,8,7,1,6,4,23,6,0
200,Ibai Gómez,es ESP,"MF,FW",Alavés,25.8,19,15,11,4,4,6,30,20,24,16,1,15,15,34,20,1
201,Maxi Gómez,uy URU,FW,Celta Vigo,34.1,7,4,1,4,2,0,18,0,18,9,4,5,3,10,34,0
202,Sergi Gómez,es ESP,DF,Celta Vigo,29.8,52,37,38,13,1,20,34,58.8,14,32,22,10,56,108,118,1
203,Vicente Gómez,es ESP,MF,Las Palmas,16.9,21,13,6,11,4,10,29,34.5,19,18,4,14,17,38,14,1
204,Adrián González,es ESP,"MF,FW",Málaga,26,40,25,14,22,4,12,50,24,38,25,8,17,38,78,34,0
205,Álvaro González,es ESP,DF,Villarreal,32.2,38,26,30,7,1,22,41,53.7,19,34,23,11,53,91,188,0
206,Bruno González,es ESP,DF,Getafe,17.1,25,18,18,7,0,13,26,50,13,11,3,8,31,56,107,0
207,Diego González,es ESP,DF,Málaga,15.9,27,19,20,7,0,18,26,69.2,8,25,10,15,19,46,69,0
208,Fabio González,es ESP,MF,Las Palmas,0.7,2,1,2,0,0,1,4,25,3,1,0,1,1,3,1,0
209,Mario González,es ESP,FW,Villarreal,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0
210,Andoni Gorosabel,es ESP,DF,Real Sociedad,0.8,3,2,1,2,0,2,5,40,3,1,0,1,4,7,1,0
211,Julio Gracia,es ESP,"DF,FW",Betis,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0
212,Álex Granell,es ESP,MF,Girona,31.6,78,53,31,39,8,38,114,33.3,76,46,3,43,47,125,29,0
213,Esteban Granero,es ESP,MF,Espanyol,13.7,32,22,15,13,4,9,27,33.3,18,19,0,19,19,51,21,0
214,Antoine Griezmann,fr FRA,"FW,MF",Atlético Madrid,28,36,24,6,23,7,10,30,33.3,20,20,1,19,10,46,14,0
