,,,,,Performance,,,,,,,,,Performance,,,,Aerial Duels,,
Rk,Player,Nation,Pos,Squad,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
210,Maxime Gonalons,fr FRA,MF,Granada,7,0,0,36,25,0,1,20,38,0,0,0,120,36,37,49.3
211,Bruno González,es ESP,DF,Getafe,1,0,0,6,2,1,0,0,2,0,1,0,8,3,2,60
212,Bruno González,es ESP,DF,Levante,0,0,0,3,2,0,0,2,8,0,0,1,32,7,5,58.3
213,Édgar González,es ESP,MF,Betis,3,0,0,8,5,0,0,10,3,0,1,0,30,25,8,75.8
214,Gonzalo,es ESP,DF,Levante,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
215,Andoni Gorosabel,es ESP,DF,Real Sociedad,2,0,0,10,9,0,22,13,8,0,0,0,36,8,14,36.4
216,Esteban Granero,es ESP,MF,Espanyol,5,0,0,15,6,0,22,2,4,0,0,0,29,8,15,34.8
217,Antoine Griezmann,fr FRA,FW,Barcelona,2,0,0,10,21,16,22,12,18,0,0,0,84,29,29,50
218,Andrés Guardado,mx MEX,MF,Betis,9,0,0,36,22,1,18,18,14,0,1,0,134,13,30,30.2
219,Sergi Guardiola,es ESP,FW,Valladolid,6,0,0,52,65,20,35,6,6,1,0,0,66,30,92,24.6
220,Nemanja Gudelj,rs SRB,"MF,DF",Sevilla,6,0,0,22,18,0,3,12,14,0,1,0,65,21,20,51.2
221,Gonçalo Guedes,pt POR,"MF,FW",Valencia,3,0,0,16,43,6,29,7,11,0,0,0,62,3,18,14.3
222,Adrián Guerrero,es ESP,DF,Valencia,1,0,0,2,1,0,5,2,2,0,0,0,4,0,0,
223,Ander Guevara,es ESP,MF,Real Sociedad,4,0,0,27,5,0,1,8,11,0,0,0,71,15,17,46.9
224,John Guidetti,se SWE,"FW,MF",Alavés,0,0,0,0,1,0,0,0,1,0,0,0,2,1,1,50
225,Hugo Guillamón,es ESP,DF,Valencia,3,0,0,8,9,0,1,5,3,0,0,0,24,7,12,36.8
226,Munir El Haddadi,ma MAR,FW,Sevilla,1,0,0,15,44,9,33,7,17,0,0,0,54,24,32,42.9
